NX,NY,num_particles,maxiter,mpi_ranks,omp_threads,total_cores,iteration,interp_time_s,mover_time_s,total_iter_time_s,active_particles
250,100,5000000,10,8,1,8,7,0.005524,0.006532,0.012077,4824761
250,100,5000000,10,8,1,8,8,0.005443,0.006521,0.011986,4798030
250,100,5000000,10,8,1,8,9,0.005470,0.006447,0.011940,4769907
250,100,5000000,10,8,1,8,10,0.005390,0.006436,0.011849,4741529
250,100,5000000,10,16,1,16,1,0.003189,0.004558,0.007801,4985397
250,100,5000000,10,16,1,16,2,0.003435,0.004680,0.008146,4964794
250,100,5000000,10,16,1,16,3,0.003390,0.004611,0.008033,4912811
250,100,5000000,10,16,1,16,4,0.003258,0.004632,0.007921,4883710
250,100,5000000,10,16,1,16,5,0.003197,0.004526,0.007755,4867023
250,100,5000000,10,16,1,16,6,0.003089,0.004593,0.007713,4848543
250,100,5000000,10,16,1,16,7,0.003046,0.004596,0.007670,4824761
250,100,5000000,10,16,1,16,8,0.003043,0.004656,0.007730,4798030
250,100,5000000,10,16,1,16,9,0.003031,0.004613,0.007673,4769907
250,100,5000000,10,16,1,16,10,0.002982,0.004616,0.007628,4741529
250,100,5000000,10,32,1,32,1,0.002590,0.002081,0.004720,4985397
250,100,5000000,10,32,1,32,2,0.010513,0.002096,0.012634,4964794
250,100,5000000,10,32,1,32,3,0.022236,0.002120,0.024381,4912811
250,100,5000000,10,32,1,32,4,0.001949,0.002114,0.004086,4883710
250,100,5000000,10,32,1,32,5,0.001810,0.002084,0.003920,4867023
250,100,5000000,10,32,1,32,6,0.009271,0.002083,0.011379,4848543
250,100,5000000,10,32,1,32,7,0.001785,0.002080,0.003889,4824761
250,100,5000000,10,32,1,32,8,0.025208,0.002117,0.027349,4798030
250,100,5000000,10,32,1,32,9,0.016996,0.002088,0.019108,4769907
250,100,5000000,10,32,1,32,10,0.012739,0.002103,0.014866,4741529
250,100,5000000,10,64,1,64,1,0.017300,0.000933,0.018281,4985397
250,100,5000000,10,64,1,64,2,0.011019,0.000894,0.011937,4964794
250,100,5000000,10,64,1,64,3,0.010197,0.000888,0.011103,4912811
250,100,5000000,10,64,1,64,4,0.001061,0.000888,0.001964,4883710
250,100,5000000,10,64,1,64,5,0.001368,0.000867,0.002252,4867023
250,100,5000000,10,64,1,64,6,0.010218,0.000870,0.011104,4848543
250,100,5000000,10,64,1,64,7,0.001075,0.000882,0.001973,4824761
250,100,5000000,10,64,1,64,8,0.019277,0.000879,0.020175,4798030
250,100,5000000,10,64,1,64,9,0.019298,0.000876,0.020193,4769907
250,100,5000000,10,64,1,64,10,0.023095,0.000869,0.023982,4741529
500,200,3600000,10,1,1,1,1,0.050848,0.055267,0.106279,3591863
500,200,3600000,10,1,1,1,2,0.050850,0.055177,0.106127,3583817
500,200,3600000,10,1,1,1,3,0.050570,0.055158,0.105829,3577470
500,200,3600000,10,1,1,1,4,0.050577,0.055072,0.105747,3569945
500,200,3600000,10,1,1,1,5,0.050514,0.055077,0.105703,3560463
500,200,3600000,10,1,1,1,6,0.050420,0.055715,0.106234,3550952
500,200,3600000,10,1,1,1,7,0.050339,0.054943,0.105489,3540281
500,200,3600000,10,1,1,1,8,0.050331,0.054922,0.105352,3528933
500,200,3600000,10,1,1,1,9,0.050338,0.054838,0.105276,3516512
500,200,3600000,10,1,1,1,10,0.050177,0.054761,0.105037,3504126
500,200,3600000,10,2,1,2,1,0.026576,0.028463,0.055215,3591863
500,200,3600000,10,2,1,2,2,0.026146,0.028316,0.054575,3583817
500,200,3600000,10,2,1,2,3,0.026127,0.028252,0.054481,3577470
500,200,3600000,10,2,1,2,4,0.026165,0.028306,0.054584,3569945
500,200,3600000,10,2,1,2,5,0.025977,0.028323,0.054413,3560463
500,200,3600000,10,2,1,2,6,0.026008,0.028232,0.054341,3550952
500,200,3600000,10,2,1,2,7,0.025973,0.028269,0.054346,3540281
500,200,3600000,10,2,1,2,8,0.025928,0.028270,0.054312,3528933
500,200,3600000,10,2,1,2,9,0.025947,0.028162,0.054222,3516512
500,200,3600000,10,2,1,2,10,0.025875,0.028133,0.054122,3504126
500,200,3600000,10,4,1,4,1,0.012634,0.012969,0.025865,3591863
500,200,3600000,10,4,1,4,2,0.011990,0.012961,0.025045,3583817
500,200,3600000,10,4,1,4,3,0.011806,0.012914,0.024826,3577470
500,200,3600000,10,4,1,4,4,0.011788,0.012925,0.024820,3569945
500,200,3600000,10,4,1,4,5,0.011803,0.012913,0.024820,3560463
500,200,3600000,10,4,1,4,6,0.011856,0.012923,0.024890,3550952
500,200,3600000,10,4,1,4,7,0.011820,0.012930,0.024844,3540281
500,200,3600000,10,4,1,4,8,0.011713,0.012864,0.024672,3528933
500,200,3600000,10,4,1,4,9,0.011739,0.012842,0.024686,3516512
500,200,3600000,10,4,1,4,10,0.011734,0.012868,0.024706,3504126
500,200,3600000,10,8,1,8,1,0.007030,0.007382,0.014594,3591863
500,200,3600000,10,8,1,8,2,0.007079,0.007283,0.014469,3583817
500,200,3600000,10,8,1,8,3,0.006853,0.007253,0.014213,3577470
500,200,3600000,10,8,1,8,4,0.006833,0.007247,0.014186,3569945
500,200,3600000,10,8,1,8,5,0.006932,0.007265,0.014309,3560463
500,200,3600000,10,8,1,8,6,0.006788,0.007248,0.014141,3550952
500,200,3600000,10,8,1,8,7,0.006814,0.007240,0.014161,3540281
500,200,3600000,10,8,1,8,8,0.006769,0.007251,0.014116,3528933
500,200,3600000,10,8,1,8,9,0.006848,0.007216,0.014179,3516512
500,200,3600000,10,8,1,8,10,0.006762,0.007215,0.014091,3504126
500,200,3600000,10,16,1,16,1,0.003974,0.005228,0.009404,3591863
500,200,3600000,10,16,1,16,2,0.004741,0.005234,0.010092,3583817
500,200,3600000,10,16,1,16,3,0.004395,0.005194,0.009695,3577470
500,200,3600000,10,16,1,16,4,0.004548,0.005184,0.009851,3569945
500,200,3600000,10,16,1,16,5,0.004390,0.005158,0.009683,3560463
